,Component_1 (24.982%),Component_2 (7.833%),Component_3 (3.916%),Component_4 (6.497%),Component_5 (2.502%),Component_6 (2.771%),Component_7 (1.387%),Component_8 (2.172%),Component_9 (1.739%),Component_10 (1.422%)
sum_hfus_divi_bp,0.004,-0.031,-0.015,0.0,-0.017,-0.024,0.041,-0.01,0.007,0.002
sum_hfus_divi_first_ion_en,0.014,-0.028,-0.01,-0.014,-0.016,-0.017,0.028,0.004,0.006,-0.001
sum_hfus_divi_mol_vol,0.027,-0.019,-0.008,-0.005,-0.008,-0.014,0.01,-0.0,-0.001,0.005
sum_hfus_divi_mp,-0.013,-0.048,-0.003,0.008,0.001,-0.009,0.046,0.009,0.011,-0.001
sum_hfus_divi_polzbl,0.011,-0.037,-0.01,-0.007,-0.002,-0.011,0.025,-0.006,-0.002,0.004
sum_hfus_divi_therm_cond,-0.018,0.005,0.0,-0.013,-0.016,-0.022,0.022,-0.013,0.002,-0.025
sum_hfus_divi_voro_coord,-0.002,-0.034,-0.023,-0.026,0.009,-0.028,-0.002,-0.0,0.019,-0.011
sum_hfus_mult_X,0.016,-0.031,-0.004,-0.006,-0.006,-0.023,0.022,-0.002,0.005,0.005
sum_hfus_mult_atom_mass,0.009,-0.001,0.035,-0.003,0.005,-0.042,0.023,0.001,0.018,0.015
sum_hfus_mult_atom_rad,0.015,-0.026,-0.004,-0.011,-0.016,-0.025,0.034,0.0,0.009,-0.0
sum_hfus_mult_bp,0.02,-0.027,0.0,-0.012,-0.01,-0.023,0.015,0.006,0.007,0.007
sum_hfus_mult_elec_aff,0.014,-0.032,-0.003,-0.014,0.004,-0.022,0.014,-0.013,-0.003,0.014
sum_hfus_mult_first_ion_en,0.014,-0.032,-0.006,-0.006,-0.009,-0.023,0.025,-0.005,0.004,0.004
sum_hfus_mult_mol_vol,-0.002,-0.035,-0.007,-0.012,-0.019,-0.026,0.044,-0.002,0.013,-0.001
sum_hfus_mult_mp,0.023,-0.019,-0.005,-0.01,-0.017,-0.028,0.01,0.004,0.006,0.007
sum_hfus_mult_polzbl,0.009,-0.01,0.006,-0.023,-0.036,-0.021,0.032,0.013,0.016,-0.009
sum_hfus_mult_therm_cond,0.019,-0.023,-0.017,-0.011,-0.013,-0.017,0.002,0.002,0.002,0.007
sum_hfus_mult_voro_coord,0.032,-0.002,0.006,-0.004,-0.017,-0.016,0.021,0.002,-0.002,0.012
sum_hfus_subs_X,-0.01,0.005,-0.02,-0.028,-0.039,-0.011,0.006,0.014,0.004,0.036
sum_hfus_subs_atom_mass,0.008,-0.017,-0.034,0.011,-0.018,0.015,-0.005,0.009,-0.015,-0.001
sum_hfus_subs_atom_rad,0.013,-0.033,-0.01,0.008,0.0,-0.016,0.01,0.01,-0.008,0.025
sum_hfus_subs_bp,-0.022,0.011,-0.028,0.02,-0.006,-0.003,0.003,-0.007,-0.008,0.021
sum_hfus_subs_elec_aff,-0.01,0.001,-0.016,0.014,-0.045,0.01,0.002,0.044,0.024,-0.019
sum_hfus_subs_first_ion_en,-0.016,0.01,-0.012,-0.019,-0.017,0.011,-0.027,0.03,-0.014,0.024
sum_hfus_subs_mol_vol,0.028,-0.008,-0.002,0.014,0.011,0.008,-0.013,0.008,-0.018,0.003
sum_hfus_subs_mp,-0.033,-0.005,-0.002,0.016,0.019,0.017,-0.007,0.003,-0.008,0.007
sum_hfus_subs_polzbl,0.013,-0.015,-0.012,0.028,0.025,-0.008,0.0,0.001,-0.004,0.008
sum_hfus_subs_therm_cond,-0.029,0.01,0.017,0.002,0.004,0.007,0.011,-0.0,-0.004,-0.005
sum_hfus_subs_voro_coord,-0.024,-0.033,-0.017,-0.006,0.022,-0.031,-0.013,0.016,0.021,-0.011
sum_is_actinoid,-0.006,-0.026,0.048,0.009,-0.005,0.004,0.042,0.031,0.029,-0.012
sum_is_alkali,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_is_alkaline,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_is_halogen,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_is_lanthanoid,-0.01,0.024,-0.015,-0.041,-0.005,0.004,-0.013,-0.016,-0.015,-0.003
sum_is_metalloid,-0.019,-0.04,-0.005,0.01,-0.011,-0.023,0.043,-0.015,0.011,0.004
sum_is_noble_gas,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_is_transition_metal,0.034,0.016,0.008,0.015,-0.009,0.0,-0.021,-0.007,-0.01,-0.006
sum_jv_enp,-0.017,0.01,0.007,0.02,0.004,0.044,0.029,0.011,-0.017,0.036
sum_max_oxid_s,0.021,-0.0,0.018,0.022,-0.004,-0.032,-0.0,-0.023,0.02,-0.009
sum_me1,0.01,0.018,0.025,0.027,-0.01,0.019,-0.017,-0.014,-0.015,-0.003
sum_me2,0.004,0.014,0.025,0.03,-0.007,0.022,-0.017,0.0,-0.011,0.001
sum_me3,0.016,0.016,0.023,0.021,-0.016,0.012,-0.024,-0.026,-0.022,-0.002
sum_min_oxid_s,-0.006,0.034,0.002,-0.017,0.001,0.034,-0.005,0.019,-0.009,-0.01
sum_mol_vol,-0.028,0.008,0.002,-0.014,-0.012,-0.009,0.014,-0.008,0.019,-0.003
sum_mol_vol_add_X,-0.028,0.007,0.003,-0.013,-0.01,-0.009,0.014,-0.009,0.019,-0.006
sum_mol_vol_add_atom_mass,-0.01,0.017,0.032,-0.012,0.016,-0.015,0.006,-0.009,0.016,0.0
sum_mol_vol_add_atom_rad,-0.028,0.009,0.002,-0.014,-0.012,-0.008,0.013,-0.008,0.019,-0.004
sum_mol_vol_add_bp,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_mol_vol_add_mp,0.033,0.005,0.003,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mol_vol_add_therm_cond,0.028,-0.01,-0.018,-0.004,-0.006,-0.009,-0.01,-0.0,0.007,0.005
sum_mol_vol_add_voro_coord,-0.011,0.026,0.012,-0.009,-0.024,0.01,0.021,-0.017,0.005,0.004
sum_mol_vol_divi_atom_mass,-0.0,-0.029,-0.029,-0.009,-0.022,0.002,0.008,-0.003,-0.003,-0.015
sum_mol_vol_divi_atom_rad,-0.031,-0.008,-0.002,-0.01,-0.009,-0.012,0.024,-0.006,0.023,-0.003
sum_mol_vol_divi_bp,-0.024,0.019,-0.012,0.004,-0.01,-0.012,0.018,-0.008,0.023,0.018
sum_mol_vol_divi_first_ion_en,-0.026,0.013,-0.0,-0.021,-0.012,0.003,0.002,-0.003,0.012,-0.002
sum_mol_vol_divi_hfus,-0.021,0.018,-0.004,-0.007,0.009,0.015,-0.036,-0.009,0.004,0.004
sum_mol_vol_divi_mp,-0.029,0.004,0.004,0.015,0.014,0.011,-0.014,0.012,0.011,0.001
sum_mol_vol_divi_polzbl,-0.022,-0.026,0.001,0.02,0.019,-0.013,0.037,-0.014,0.012,-0.005
sum_mol_vol_divi_therm_cond,-0.023,0.015,-0.002,-0.024,-0.013,-0.011,-0.016,-0.018,-0.007,-0.013
sum_mol_vol_divi_voro_coord,-0.013,-0.0,-0.022,-0.034,0.032,-0.031,-0.044,0.004,0.031,-0.02
sum_mol_vol_mult_X,-0.027,-0.015,0.017,0.01,0.01,-0.014,0.013,-0.019,0.005,-0.033
sum_mol_vol_mult_atom_mass,-0.02,0.015,0.02,-0.015,0.0,-0.013,0.012,-0.005,0.02,0.007
sum_mol_vol_mult_atom_rad,-0.025,0.015,0.004,-0.017,-0.014,-0.006,0.007,-0.008,0.014,-0.002
sum_mol_vol_mult_bp,-0.016,-0.011,0.027,-0.029,-0.01,-0.004,0.007,0.004,0.016,-0.015
sum_mol_vol_mult_mp,0.002,0.004,0.007,-0.031,-0.034,-0.025,0.023,0.001,0.022,-0.006
sum_mol_vol_mult_therm_cond,0.018,-0.019,-0.017,-0.005,-0.004,-0.011,-0.002,0.002,0.015,0.01
sum_mol_vol_mult_voro_coord,-0.006,0.023,0.016,-0.003,-0.035,0.018,0.027,-0.012,-0.007,0.021
sum_mol_vol_subs_X,-0.028,0.008,0.001,-0.015,-0.014,-0.009,0.013,-0.006,0.018,-0.0
sum_mol_vol_subs_atom_mass,0.006,-0.018,-0.035,0.01,-0.02,0.015,-0.004,0.009,-0.014,-0.001
sum_mol_vol_subs_atom_rad,-0.029,0.007,0.002,-0.014,-0.012,-0.01,0.014,-0.007,0.019,-0.001
sum_mol_vol_subs_bp,-0.022,0.011,-0.028,0.02,-0.006,-0.003,0.003,-0.007,-0.008,0.021
sum_mol_vol_subs_elec_aff,-0.029,0.008,0.001,-0.013,-0.014,-0.007,0.013,-0.005,0.02,-0.004
sum_mol_vol_subs_first_ion_en,-0.029,0.01,-0.0,-0.016,-0.013,-0.006,0.007,-0.002,0.015,0.002
sum_mol_vol_subs_hfus,-0.028,0.008,0.002,-0.014,-0.011,-0.008,0.013,-0.008,0.018,-0.003
sum_mol_vol_subs_mp,-0.033,-0.005,-0.002,0.015,0.019,0.017,-0.007,0.003,-0.008,0.007
sum_mol_vol_subs_polzbl,-0.011,-0.012,-0.014,0.025,0.023,-0.019,0.014,-0.007,0.013,0.008
sum_mol_vol_subs_therm_cond,-0.03,0.01,0.016,0.0,0.003,0.006,0.011,-0.001,-0.002,-0.005
sum_mol_vol_subs_voro_coord,-0.035,-0.01,-0.007,-0.014,0.002,-0.022,0.003,0.002,0.025,-0.008
sum_mop_eg,0.009,-0.03,-0.023,-0.015,-0.007,-0.0,0.009,-0.006,-0.015,-0.017
sum_mp,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_add_X,0.033,0.005,0.002,-0.015,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_add_atom_mass,0.032,0.007,0.006,-0.017,-0.017,-0.019,0.007,-0.004,0.009,-0.007
sum_mp_add_atom_rad,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_add_therm_cond,0.034,0.004,0.001,-0.015,-0.018,-0.017,0.006,-0.003,0.008,-0.006
sum_mp_add_voro_coord,0.033,0.005,0.003,-0.015,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_divi_atom_mass,0.02,-0.019,-0.025,-0.006,-0.02,0.001,0.003,-0.007,-0.007,-0.013
sum_mp_divi_atom_rad,0.033,-0.005,-0.003,-0.011,-0.014,-0.016,0.006,-0.005,0.004,-0.003
sum_mp_divi_bp,0.027,0.02,-0.022,-0.009,-0.031,-0.018,0.025,-0.019,0.009,-0.003
sum_mp_divi_first_ion_en,0.028,0.012,-0.0,-0.025,-0.028,-0.011,0.007,0.002,0.008,-0.012
sum_mp_divi_hfus,0.005,0.032,0.001,-0.024,-0.008,0.019,-0.037,-0.023,-0.001,-0.017
sum_mp_divi_mol_vol,0.038,0.007,-0.001,0.001,-0.005,-0.003,-0.006,-0.005,-0.004,-0.002
sum_mp_divi_polzbl,0.03,-0.012,-0.003,-0.002,0.011,-0.003,0.014,-0.011,-0.007,0.002
sum_mp_divi_therm_cond,-0.011,0.019,-0.005,-0.031,-0.018,-0.015,-0.015,-0.016,-0.007,-0.027
sum_mp_divi_voro_coord,-0.0,-0.004,-0.025,-0.039,0.028,-0.033,-0.044,0.003,0.03,-0.021
sum_mp_mult_X,0.035,-0.0,0.006,-0.004,0.0,-0.016,0.001,-0.006,0.002,-0.005
sum_mp_mult_atom_mass,0.011,0.011,0.037,-0.015,0.005,-0.027,0.007,0.0,0.017,0.007
sum_mp_mult_atom_rad,0.028,0.014,0.008,-0.021,-0.025,-0.017,0.008,-0.001,0.012,-0.012
sum_mp_mult_therm_cond,0.033,-0.004,-0.011,-0.004,-0.012,-0.018,-0.007,0.006,0.008,0.012
sum_mp_mult_voro_coord,0.034,0.021,0.017,0.0,-0.025,0.003,0.014,-0.003,-0.008,0.009
sum_mp_subs_X,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_subs_atom_mass,0.033,0.003,-0.001,-0.014,-0.02,-0.016,0.006,-0.003,0.006,-0.007
sum_mp_subs_atom_rad,0.033,0.005,0.002,-0.015,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_subs_bp,0.004,0.022,-0.04,0.013,-0.03,-0.024,0.012,-0.015,-0.004,0.024
sum_mp_subs_elec_aff,0.033,0.005,0.002,-0.015,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_subs_first_ion_en,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_subs_hfus,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_subs_mol_vol,0.033,0.005,0.002,-0.015,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_subs_polzbl,0.033,0.005,0.002,-0.015,-0.018,-0.017,0.007,-0.003,0.008,-0.007
sum_mp_subs_therm_cond,0.032,0.006,0.004,-0.016,-0.019,-0.017,0.008,-0.004,0.008,-0.008
sum_mp_subs_voro_coord,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_ndunfill,0.009,0.007,0.001,-0.018,-0.0,-0.006,-0.02,0.011,0.018,-0.028
sum_ndvalence,-0.006,0.005,0.024,0.036,0.037,0.009,0.003,0.006,0.012,0.006
sum_nfunfill,-0.011,0.012,-0.012,-0.041,0.021,0.02,-0.005,-0.019,-0.017,-0.009
sum_nfvalence,0.008,0.022,0.007,-0.026,0.019,-0.016,-0.005,-0.015,-0.002,0.011
sum_npunfill,-0.027,-0.035,-0.003,0.02,0.013,0.003,0.002,0.012,0.011,-0.003
sum_npvalence,-0.027,-0.03,0.0,0.023,-0.001,-0.022,0.029,-0.011,0.011,-0.004
sum_nsunfill,0.022,0.021,0.014,-0.006,0.017,-0.024,-0.033,-0.012,0.012,0.025
sum_nsvalence,-0.015,-0.017,-0.006,0.006,-0.029,-0.001,0.002,-0.011,0.009,-0.029
sum_op_eg,0.009,-0.03,-0.023,-0.015,-0.007,-0.0,0.009,-0.006,-0.015,-0.017
sum_oq_bg,0.004,-0.039,-0.018,-0.016,-0.008,-0.001,0.015,-0.003,-0.004,-0.002
sum_oq_enp,-0.028,0.008,-0.015,-0.007,0.022,0.017,-0.002,0.004,-0.009,0.036
sum_polzbl,-0.012,0.014,0.012,-0.029,-0.025,0.007,0.0,-0.001,0.005,-0.008
sum_polzbl_add_X,-0.012,0.014,0.013,-0.028,-0.024,0.008,0.0,-0.002,0.005,-0.01
sum_polzbl_add_atom_mass,-0.009,0.018,0.033,-0.014,0.014,-0.013,0.005,-0.008,0.015,-0.0
sum_polzbl_add_atom_rad,-0.012,0.015,0.012,-0.028,-0.025,0.007,0.0,-0.001,0.005,-0.009
sum_polzbl_add_bp,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_polzbl_add_elec_aff,-0.012,0.014,0.012,-0.03,-0.023,0.007,0.001,-0.003,0.003,-0.007
sum_polzbl_add_first_ion_en,-0.011,0.013,0.014,-0.028,-0.025,0.006,0.005,-0.006,0.007,-0.012
sum_polzbl_add_mol_vol,-0.021,0.012,0.008,-0.024,-0.021,0.001,0.006,-0.004,0.011,-0.006
sum_polzbl_add_mp,0.033,0.005,0.003,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_polzbl_add_therm_cond,0.029,-0.008,-0.017,-0.006,-0.008,-0.007,-0.011,0.0,0.005,0.004
sum_polzbl_add_voro_coord,-0.0,0.024,0.016,-0.021,-0.03,0.018,0.006,-0.007,-0.004,-0.002
sum_polzbl_divi_atom_mass,0.006,-0.004,-0.025,-0.017,-0.039,0.015,-0.007,-0.002,-0.009,-0.026
sum_polzbl_divi_atom_rad,-0.01,0.013,0.01,-0.029,-0.028,0.008,0.001,0.003,0.007,-0.009
sum_polzbl_divi_bp,-0.014,0.031,-0.012,-0.021,-0.025,0.004,0.004,-0.005,0.009,0.013
sum_polzbl_divi_first_ion_en,-0.014,0.014,0.009,-0.029,-0.022,0.012,-0.002,-0.001,-0.0,-0.006
sum_polzbl_divi_hfus,-0.018,0.014,0.003,-0.02,-0.003,0.02,-0.025,-0.012,-0.007,0.002
sum_polzbl_divi_mol_vol,0.015,0.022,0.011,-0.019,-0.027,0.018,-0.012,0.001,-0.001,-0.028
sum_polzbl_divi_mp,-0.025,0.01,0.007,-0.004,0.004,0.024,-0.019,0.011,0.002,0.0
sum_polzbl_divi_therm_cond,-0.016,0.015,-0.002,-0.033,-0.015,-0.001,-0.02,-0.019,-0.016,-0.014
sum_polzbl_divi_voro_coord,-0.008,0.005,-0.021,-0.04,0.031,-0.027,-0.05,0.006,0.029,-0.021
sum_polzbl_mult_X,-0.007,0.004,0.022,-0.019,-0.01,0.011,-0.006,-0.004,-0.004,-0.037
sum_polzbl_mult_atom_mass,-0.013,0.008,0.027,-0.025,-0.012,-0.0,0.011,0.004,0.012,-0.001
sum_polzbl_mult_atom_rad,-0.013,0.014,0.012,-0.028,-0.024,0.007,-0.001,-0.003,0.002,-0.007
sum_polzbl_mult_bp,-0.008,-0.002,0.03,-0.025,-0.021,0.005,0.004,0.009,0.01,-0.012
sum_polzbl_mult_elec_aff,0.0,0.019,-0.001,-0.039,0.008,-0.009,-0.015,-0.039,-0.025,0.013
sum_polzbl_mult_first_ion_en,-0.01,0.013,0.015,-0.027,-0.028,0.0,0.004,-0.002,0.011,-0.01
sum_polzbl_mult_mol_vol,-0.017,0.012,0.01,-0.027,-0.023,0.004,0.003,-0.002,0.006,0.004
sum_polzbl_mult_mp,0.002,0.009,0.018,-0.027,-0.038,-0.009,0.009,0.009,0.015,-0.009
sum_polzbl_mult_therm_cond,0.027,-0.002,0.001,-0.0,-0.021,-0.01,-0.004,0.019,0.032,0.019
sum_polzbl_mult_voro_coord,-0.004,0.015,0.022,-0.009,-0.042,0.021,0.022,-0.007,-0.012,0.013
sum_polzbl_subs_X,-0.013,0.014,0.01,-0.029,-0.026,0.007,0.0,-0.0,0.004,-0.006
sum_polzbl_subs_atom_mass,0.007,-0.017,-0.034,0.008,-0.023,0.017,-0.006,0.009,-0.015,-0.002
sum_polzbl_subs_atom_rad,-0.012,0.013,0.012,-0.029,-0.026,0.007,0.0,-0.0,0.004,-0.007
sum_polzbl_subs_bp,-0.022,0.011,-0.028,0.02,-0.006,-0.003,0.003,-0.007,-0.008,0.021
sum_polzbl_subs_elec_aff,-0.013,0.015,0.011,-0.027,-0.027,0.008,-0.0,0.001,0.006,-0.009
sum_polzbl_subs_first_ion_en,-0.014,0.015,0.009,-0.028,-0.025,0.009,-0.004,0.003,0.002,-0.004
sum_polzbl_subs_hfus,-0.013,0.015,0.012,-0.028,-0.025,0.008,-0.0,-0.001,0.004,-0.008
sum_polzbl_subs_mol_vol,0.011,0.012,0.014,-0.025,-0.023,0.019,-0.014,0.007,-0.013,-0.008
sum_polzbl_subs_mp,-0.033,-0.005,-0.002,0.015,0.018,0.017,-0.007,0.003,-0.008,0.007
sum_polzbl_subs_therm_cond,-0.028,0.011,0.017,-0.002,0.001,0.008,0.01,-0.0,-0.004,-0.006
sum_polzbl_subs_voro_coord,-0.024,-0.001,0.004,-0.031,-0.014,-0.007,-0.007,0.007,0.014,-0.014
sum_row,-0.011,0.021,0.022,-0.024,0.003,-0.003,0.001,-0.012,0.008,-0.011
sum_therm_cond,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.0,0.004,0.005
sum_therm_cond_add_X,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.0,0.004,0.005
sum_therm_cond_add_voro_coord,0.03,-0.007,-0.016,-0.001,-0.006,-0.005,-0.01,-0.001,0.003,0.006
sum_therm_cond_divi_atom_mass,0.016,-0.025,-0.024,-0.007,-0.013,-0.001,-0.002,-0.006,-0.007,-0.005
sum_therm_cond_divi_atom_rad,0.026,-0.015,-0.019,-0.004,-0.005,-0.007,-0.008,-0.001,0.001,0.004
sum_therm_cond_divi_bp,0.024,-0.009,-0.027,0.002,-0.003,-0.002,-0.009,-0.004,0.006,0.007
sum_therm_cond_divi_first_ion_en,0.029,-0.007,-0.019,-0.001,-0.005,-0.005,-0.015,0.003,0.008,0.006
sum_therm_cond_divi_hfus,0.006,0.014,-0.013,0.015,0.017,0.011,-0.05,-0.01,0.01,-0.002
sum_therm_cond_divi_mol_vol,0.035,0.0,-0.015,0.002,-0.005,-0.002,-0.014,-0.001,-0.003,0.003
sum_therm_cond_divi_mp,0.005,-0.008,-0.016,0.014,0.02,0.012,-0.037,0.005,0.005,-0.005
sum_therm_cond_divi_polzbl,0.024,-0.018,-0.019,-0.006,0.003,-0.001,-0.002,-0.005,-0.007,0.0
sum_therm_cond_divi_voro_coord,0.013,-0.028,-0.025,-0.014,0.002,-0.012,-0.009,-0.0,0.006,-0.007
sum_therm_cond_mult_X,0.031,-0.008,-0.015,-0.001,-0.001,-0.011,-0.014,-0.001,0.002,0.004
sum_therm_cond_mult_voro_coord,0.038,0.015,-0.009,0.003,-0.002,-0.005,-0.018,0.002,0.006,0.015
sum_therm_cond_subs_X,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.0,0.005,0.006
sum_therm_cond_subs_atom_mass,0.02,-0.016,-0.029,0.006,-0.013,0.005,-0.009,0.006,-0.007,0.002
sum_therm_cond_subs_atom_rad,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.0,0.004,0.005
sum_therm_cond_subs_bp,-0.021,0.01,-0.03,0.021,-0.007,-0.004,0.002,-0.007,-0.008,0.022
sum_therm_cond_subs_elec_aff,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.001,0.005,0.005
sum_therm_cond_subs_first_ion_en,0.029,-0.009,-0.018,-0.002,-0.005,-0.007,-0.011,0.001,0.004,0.006
sum_therm_cond_subs_hfus,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.0,0.004,0.005
sum_therm_cond_subs_mol_vol,0.03,-0.01,-0.016,-0.0,-0.003,-0.006,-0.011,0.001,0.002,0.005
sum_therm_cond_subs_mp,-0.032,-0.006,-0.004,0.016,0.019,0.017,-0.008,0.004,-0.008,0.008
sum_therm_cond_subs_polzbl,0.028,-0.011,-0.017,0.002,-0.001,-0.008,-0.01,0.0,0.004,0.006
sum_therm_cond_subs_voro_coord,0.028,-0.012,-0.018,-0.002,-0.003,-0.009,-0.012,0.001,0.006,0.005
sum_voro_coord,0.025,0.033,0.016,0.004,-0.021,0.03,0.012,-0.017,-0.02,0.011
sum_voro_coord_divi_atom_mass,0.026,-0.002,-0.023,0.005,-0.023,0.025,0.001,-0.009,-0.021,-0.015
sum_voro_coord_divi_atom_rad,0.034,0.027,0.011,0.007,-0.012,0.027,0.008,-0.015,-0.019,0.011
sum_voro_coord_divi_bp,0.011,0.047,-0.012,0.01,-0.021,0.026,0.018,-0.018,-0.006,0.028
sum_voro_coord_divi_first_ion_en,0.014,0.034,0.012,-0.002,-0.029,0.035,0.009,-0.013,-0.02,0.01
sum_voro_coord_divi_hfus,-0.007,0.024,0.001,0.004,-0.002,0.032,-0.031,-0.021,-0.011,0.01
sum_voro_coord_divi_mol_vol,0.037,0.021,0.004,0.01,0.001,0.023,-0.006,-0.011,-0.02,-0.0
sum_voro_coord_divi_mp,-0.013,0.017,0.005,0.019,0.01,0.033,-0.024,0.003,-0.003,0.008
sum_voro_coord_divi_polzbl,0.031,0.012,0.006,0.012,0.028,0.026,0.009,-0.014,-0.02,0.003
sum_voro_coord_divi_therm_cond,-0.012,0.017,0.009,-0.01,-0.033,0.013,0.008,-0.023,-0.031,-0.005
sum_voro_coord_subs_X,0.023,0.033,0.014,0.003,-0.026,0.03,0.014,-0.015,-0.02,0.015
sum_voro_coord_subs_atom_mass,0.01,-0.016,-0.033,0.012,-0.02,0.017,-0.005,0.008,-0.016,-0.0
sum_voro_coord_subs_atom_rad,0.026,0.03,0.016,0.007,-0.022,0.03,0.015,-0.016,-0.022,0.014
sum_voro_coord_subs_bp,-0.022,0.011,-0.028,0.02,-0.006,-0.003,0.003,-0.007,-0.008,0.021
sum_voro_coord_subs_elec_aff,0.023,0.033,0.015,0.008,-0.027,0.033,0.014,-0.012,-0.019,0.009
sum_voro_coord_subs_first_ion_en,0.019,0.035,0.013,0.0,-0.026,0.033,0.005,-0.007,-0.024,0.018
sum_voro_coord_subs_hfus,0.024,0.033,0.017,0.006,-0.022,0.031,0.013,-0.016,-0.021,0.011
sum_voro_coord_subs_mol_vol,0.035,0.01,0.007,0.014,-0.002,0.022,-0.003,-0.002,-0.025,0.008
sum_voro_coord_subs_mp,-0.033,-0.005,-0.002,0.016,0.019,0.017,-0.007,0.003,-0.008,0.007
sum_voro_coord_subs_polzbl,0.024,0.001,-0.004,0.031,0.014,0.007,0.007,-0.007,-0.014,0.014
sum_voro_coord_subs_therm_cond,-0.028,0.012,0.018,0.002,0.003,0.009,0.012,-0.001,-0.006,-0.005
avg_C-0,0.037,0.011,0.004,0.01,-0.0,-0.014,-0.007,-0.0,-0.0,-0.001
avg_C-1,0.037,0.011,0.01,0.005,0.017,0.004,-0.006,-0.008,-0.003,0.014
avg_C-10,0.021,-0.001,-0.008,-0.028,0.01,0.03,-0.02,0.018,-0.014,-0.005
avg_C-11,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-12,0.036,0.011,0.01,0.006,0.018,0.005,-0.009,-0.005,-0.002,0.016
avg_C-13,0.036,0.011,0.011,0.005,0.02,0.005,-0.005,-0.008,-0.004,0.007
avg_C-14,0.037,0.01,0.004,0.007,0.0,-0.01,-0.008,0.004,-0.002,-0.004
avg_C-15,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-16,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-17,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-18,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-19,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-2,0.036,0.011,0.01,0.006,0.018,0.005,-0.009,-0.005,-0.002,0.016
avg_C-20,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-21,0.036,0.009,-0.006,0.004,-0.008,-0.009,0.004,0.013,0.007,0.009
avg_C-22,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-23,-0.021,0.001,0.008,0.028,-0.01,-0.03,0.02,-0.018,0.014,0.005
avg_C-24,-0.021,0.001,0.008,0.028,-0.01,-0.03,0.02,-0.018,0.014,0.005
avg_C-25,0.021,-0.001,-0.008,-0.028,0.01,0.03,-0.02,0.018,-0.014,-0.005
avg_C-26,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-27,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-28,0.034,0.007,-0.003,0.002,-0.005,-0.006,0.008,0.021,0.015,0.014
avg_C-29,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
avg_C-3,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
